Datafile FullScanSumBP FullScanMaxBP ZoomScanSumBP ZoomScanMaxBP SumTIC MaxTIC
FIT_HPPP_Bound_060622_04.113.113.3.dta 3996 3996 0 0 1151 1151
FIT_HPPP_Bound_060622_04.115.115.2.dta 3621 3621 0 0 824 824
FIT_HPPP_Bound_060622_04.115.115.3.dta 3621 3621 0 0 824 824
FIT_HPPP_Bound_060622_04.117.117.1.dta 4102 4102 0 0 863 863
FIT_HPPP_Bound_060622_04.118.118.2.dta 4327 4327 0 0 753 753
FIT_HPPP_Bound_060622_04.118.118.3.dta 4327 4327 0 0 753 753
FIT_HPPP_Bound_060622_04.119.119.1.dta 52724 52724 0 0 1142 1142
FIT_HPPP_Bound_060622_04.122.122.1.dta 1530 1530 0 0 1361 1361
FIT_HPPP_Bound_060622_04.123.123.1.dta 2803 2803 0 0 1374 1374
FIT_HPPP_Bound_060622_04.125.125.1.dta 23491 23491 0 0 1641 1641
FIT_HPPP_Bound_060622_04.126.126.2.dta 1485 1485 0 0 540 540
FIT_HPPP_Bound_060622_04.126.126.3.dta 1485 1485 0 0 540 540
FIT_HPPP_Bound_060622_04.127.127.1.dta 3656 3656 0 0 879 879
FIT_HPPP_Bound_060622_04.129.129.1.dta 7480 7480 0 0 1368 1368
FIT_HPPP_Bound_060622_04.131.131.2.dta 2611 2611 0 0 621 621
FIT_HPPP_Bound_060622_04.131.131.3.dta 2611 2611 0 0 621 621
FIT_HPPP_Bound_060622_04.133.133.2.dta 2055 2055 0 0 841 841
FIT_HPPP_Bound_060622_04.133.133.3.dta 2055 2055 0 0 841 841
FIT_HPPP_Bound_060622_04.138.138.1.dta 171704 171704 0 0 1312 1312
FIT_HPPP_Bound_060622_04.139.139.1.dta 1292 1292 0 0 345 345
FIT_HPPP_Bound_060622_04.141.141.2.dta 1642 1642 0 0 279 279
FIT_HPPP_Bound_060622_04.141.141.3.dta 1642 1642 0 0 279 279
FIT_HPPP_Bound_060622_04.143.143.2.dta 2853 2853 0 0 164 164
FIT_HPPP_Bound_060622_04.143.143.3.dta 2853 2853 0 0 164 164
FIT_HPPP_Bound_060622_04.145.145.1.dta 7495 7495 0 0 1481 1481
FIT_HPPP_Bound_060622_04.146.146.1.dta 24907 24907 0 0 1988 1988
FIT_HPPP_Bound_060622_04.149.149.2.dta 2027 2027 0 0 82 82
FIT_HPPP_Bound_060622_04.149.149.3.dta 2027 2027 0 0 82 82
FIT_HPPP_Bound_060622_04.150.150.2.dta 2221 2221 0 0 327 327
FIT_HPPP_Bound_060622_04.150.150.3.dta 2221 2221 0 0 327 327
FIT_HPPP_Bound_060622_04.151.151.1.dta 272210 272210 0 0 4255 4255
FIT_HPPP_Bound_060622_04.154.154.1.dta 12236 12236 0 0 516 516
FIT_HPPP_Bound_060622_04.155.155.2.dta 3732 3732 0 0 205 205
FIT_HPPP_Bound_060622_04.155.155.3.dta 3732 3732 0 0 205 205
FIT_HPPP_Bound_060622_04.158.158.1.dta 353632 353632 0 0 3916 3916
FIT_HPPP_Bound_060622_04.161.161.1.dta 10897 10897 0 0 569 569
FIT_HPPP_Bound_060622_04.162.162.1.dta 0 0 0 0 5433 5433
FIT_HPPP_Bound_060622_04.163.163.2.dta 1802 1802 0 0 404 404
FIT_HPPP_Bound_060622_04.163.163.3.dta 1802 1802 0 0 404 404
FIT_HPPP_Bound_060622_04.165.165.2.dta 1899 1899 0 0 67 67
FIT_HPPP_Bound_060622_04.165.165.3.dta 1899 1899 0 0 67 67
FIT_HPPP_Bound_060622_04.166.166.2.dta 2055 2055 0 0 773 773
FIT_HPPP_Bound_060622_04.166.166.3.dta 2055 2055 0 0 773 773
FIT_HPPP_Bound_060622_04.169.169.2.dta 0 0 0 0 575 575
FIT_HPPP_Bound_060622_04.169.169.3.dta 0 0 0 0 575 575
FIT_HPPP_Bound_060622_04.171.171.2.dta 993 993 0 0 1167 1167
FIT_HPPP_Bound_060622_04.171.171.3.dta 993 993 0 0 1167 1167
FIT_HPPP_Bound_060622_04.173.173.2.dta 2432 2432 0 0 979 979
FIT_HPPP_Bound_060622_04.173.173.3.dta 2432 2432 0 0 979 979
FIT_HPPP_Bound_060622_04.174.174.2.dta 1900 1900 0 0 795 795
FIT_HPPP_Bound_060622_04.177.177.2.dta 1845 1845 0 0 699 699
FIT_HPPP_Bound_060622_04.177.177.3.dta 1845 1845 0 0 699 699
FIT_HPPP_Bound_060622_04.178.178.2.dta 1898 1898 0 0 486 486
FIT_HPPP_Bound_060622_04.178.178.3.dta 1898 1898 0 0 486 486
FIT_HPPP_Bound_060622_04.179.179.2.dta 0 0 0 0 1375 1375
FIT_HPPP_Bound_060622_04.179.179.3.dta 0 0 0 0 1375 1375
FIT_HPPP_Bound_060622_04.181.181.2.dta 0 0 0 0 610 610
FIT_HPPP_Bound_060622_04.181.181.3.dta 0 0 0 0 610 610
FIT_HPPP_Bound_060622_04.182.182.1.dta 1324 1324 0 0 327 327
FIT_HPPP_Bound_060622_04.183.185.2.dta 2471 1435 0 0 2114 1121
FIT_HPPP_Bound_060622_04.183.185.3.dta 2471 1435 0 0 2114 1121
FIT_HPPP_Bound_060622_04.186.186.2.dta 0 0 0 0 1220 1220
FIT_HPPP_Bound_060622_04.186.186.3.dta 0 0 0 0 1220 1220
FIT_HPPP_Bound_060622_04.187.187.2.dta 0 0 0 0 639 639
FIT_HPPP_Bound_060622_04.187.187.3.dta 0 0 0 0 639 639
FIT_HPPP_Bound_060622_04.191.191.2.dta 2047 2047 0 0 1031 1031
FIT_HPPP_Bound_060622_04.191.191.3.dta 2047 2047 0 0 1031 1031
FIT_HPPP_Bound_060622_04.193.193.1.dta 5921 5921 0 0 3427 3427
FIT_HPPP_Bound_060622_04.194.194.2.dta 0 0 0 0 799 799
FIT_HPPP_Bound_060622_04.194.194.3.dta 0 0 0 0 799 799
FIT_HPPP_Bound_060622_04.195.195.2.dta 2690 2690 0 0 1099 1099
FIT_HPPP_Bound_060622_04.195.195.3.dta 2690 2690 0 0 1099 1099
FIT_HPPP_Bound_060622_04.197.197.1.dta 3757 3757 0 0 5180 5180
FIT_HPPP_Bound_060622_04.201.201.2.dta 1411 1411 0 0 1052 1052
FIT_HPPP_Bound_060622_04.201.201.3.dta 1411 1411 0 0 1052 1052
FIT_HPPP_Bound_060622_04.204.204.2.dta 1349 1349 0 0 1919 1919
FIT_HPPP_Bound_060622_04.204.204.3.dta 1349 1349 0 0 1919 1919
FIT_HPPP_Bound_060622_04.206.206.1.dta 80278 80278 0 0 1395 1395
FIT_HPPP_Bound_060622_04.208.208.2.dta 979 979 0 0 507 507
FIT_HPPP_Bound_060622_04.208.208.3.dta 979 979 0 0 507 507
FIT_HPPP_Bound_060622_04.209.209.2.dta 0 0 0 0 791 791
FIT_HPPP_Bound_060622_04.209.209.3.dta 0 0 0 0 791 791
FIT_HPPP_Bound_060622_04.210.210.2.dta 1961 1961 0 0 283 283
FIT_HPPP_Bound_060622_04.210.210.3.dta 1961 1961 0 0 283 283
FIT_HPPP_Bound_060622_04.214.214.2.dta 0 0 0 0 757 757
FIT_HPPP_Bound_060622_04.214.214.3.dta 0 0 0 0 757 757
FIT_HPPP_Bound_060622_04.216.216.1.dta 510454 510454 0 0 144111 144111
FIT_HPPP_Bound_060622_04.217.217.1.dta 4742 4742 0 0 97357 97357
FIT_HPPP_Bound_060622_04.218.218.1.dta 510454 510454 0 0 86508 86508
FIT_HPPP_Bound_060622_04.220.220.1.dta 0 0 0 0 154483 154483
FIT_HPPP_Bound_060622_04.221.221.2.dta 1724 1724 0 0 938 938
FIT_HPPP_Bound_060622_04.221.221.3.dta 1724 1724 0 0 938 938
FIT_HPPP_Bound_060622_04.223.223.1.dta 267858 267858 0 0 70863 70863
FIT_HPPP_Bound_060622_04.224.224.1.dta 180335 180335 0 0 21550 21550
FIT_HPPP_Bound_060622_04.225.225.1.dta 5498 5498 0 0 2993 2993
FIT_HPPP_Bound_060622_04.227.227.1.dta 168259 168259 0 0 22153 22153
